million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
alleviate,vt. 减轻，缓和
anonymize,vt. 隐去（试验结果等）中的姓名资料，使匿名
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
disengage,"vt. 使脱离；解开；解除
vi. 脱出；松开"
disinfect,vt. 将…消毒
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
diversify,vt. 使多样化，使变化；增加产品种类以扩大
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
downscale,"vt. 缩减…规模
vi. 缩减规模"
dramatize,"vt. 使戏剧化；编写剧本；改编成戏剧
vi. 戏剧化"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
fabricate,vt. 制造；伪造；装配
fertilize,vt. 使受精；使肥沃
harmonise,"vt. 使和谐
vi. 和谐（等于harmonize）"
humiliate,vt. 羞辱；使…丢脸；耻辱
immigrate,"vi. 移入
vt. 使移居入境"
intervene,vi. 干涉；调停；插入
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
mechanize,vt. 使机械化；机动化；用机械装置
misadjust, 误调
modernize,"vt. 使…现代化
vi. 现代化"
multitask,"vt. 使多任务化
n.  多任务"
overreact,vi. 反应过度；反作用过强
overstate,vt. 夸张；夸大的叙述
overthink, 想多了；太多去想；过于考虑
overvalue,vt. 对…估价过高；过分重视
privatize,vt. 使私有化；使归私有
publicize,vt. 宣传；公布
socialise,"vt. 使社会化；使社会主义化
vi. 参加社交活动；发生社交往来（等于socialize）"
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
underfund,vt. 对…提供资金不足
underrate,vt. 低估；看轻
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
verbalize,"vt. 使…变成动词；用言语表达
vi. 累赘；唠叨；以言语表述"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
accumulate,"vt. 积攒
vi. 累积；积聚"
brainstorm,"n. 集思广益；头脑风暴；灵机一动
vt. 集体讨论；集思广益以寻找
vi. 集体讨论；动脑筋；出主意"
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
comprehend,vt. 理解；包含；由…组成
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
counteract,vt. 抵消；中和；阻碍
demotivate,vt. 使失去动力；使变得消极
dissociate,"vt. 游离；使分离；分裂
vi. 游离；分离；分裂"
extinguish,vt. 熄灭；压制；偿清
intimidate,vt. 恐吓，威胁；胁迫
mispredict, 误预测
monopolize,vt. 垄断；独占；拥有…的专卖权
outperform,vt. 胜过；做得比……好
overpraise,"vt. 过度称赞，过奖
n. 过奖"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
overstress,"vt. 过分强调；过分拉紧（或紧张）
n. 过分的强调；紧张过度"
paraphrase,"n. 释义；解释；意译
vt. 释义"
reclassify,vt. 重新分类；重新安排等级
reevaluate,v. 再评估，再评价
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
understate,"vt. 少说，少报；保守地说；有意轻描淡写
vi. 保守地说；有意轻描淡写"
undervalue,vt. 低估...之价值；看轻
commemorate,vt. 庆祝，纪念；成为…的纪念
criss-cross,"n. 十字号
adj. 纵横交错的；十字形的"
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
democratize,"vt. 使民主化；使大众化
vi. 民主化；大众化"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
interrelate,"vt. （使）相互关连
v. 相互关连"
proliferate,"vi. 增殖；扩散；激增
vt. 使激增"
disapproving,"v. 不赞成；不同意（disapprove的ing形式）
adj. 反对的；不赞成的"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
misinterpret,vt. 曲解，误解
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
oversimplify,"vt. 使…过分地单纯化
vi. 过分地单纯化"
predetermine,vt. 预先确定；预先决定；预先查明
substantiate,vt. 证实；使实体化
universalize,vt. 使普遍化，使一般化
contextualize,vt. 将置于上下文中研究；使…溶入背景
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
sly,adj. 狡猾的；淘气的；诡密的
airy,adj. 空气的；通风的；幻想的；轻快的；空中的
akin,adj. 类似的；同类的；同族的
dual,"n. 双数；双数词
adj. 双的；双重的"
hazy,adj. 朦胧的；模糊的；有薄雾的
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
oral,"n. 口试
adj. 口头的，口述的"
ample,adj. 丰富的；足够的；宽敞的
dense,adj. 稠密的；浓厚的；愚钝的
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
famed,adj. 著名的
foggy,adj. 有雾的；模糊的，朦胧的
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
hefty,"n. 体格健壮的人
adj. 重的；肌肉发达的；异常大的
adv. 强有力地；非常"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
manly,"adj. 男子气概的；强壮的；适于男人的
adv. 雄赳赳地"
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
nasal,"adj. 鼻的；鼻音的
n. 鼻骨；鼻音；鼻音字"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
toxic,adj. 有毒的；中毒的
undue,adj. 过度的，过分的；不适当的；未到期的
vague,adj. 模糊的；含糊的；不明确的；暧昧的
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
woody,adj. 木质的；多树木的；木头似的
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
afloat,"adj. 在海上的；飘浮的；浸满水的；在传播的
adv. 在海上；飘浮著；浸满水"
benign,adj. 良性的；和蔼的，亲切的；吉利的
brutal,adj. 残忍的；野蛮的，不讲理的
canned,"adj. 罐装的；录音的
v. 装于罐头（can的过去分词）"
causal,"n. 表示原因的连词
adj. 因果关系的；有原因的"
cheery,adj. 愉快的，活泼的
chunky,adj. 矮胖的；粗短的；厚实的
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
cyclic,adj. 环的；循环的；周期的
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
decent,adj. 正派的；得体的；相当好的
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
exotic,adj. 异国的；外来的；异国情调的
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
gloomy,adj. 黑暗的；沮丧的；阴郁的
greedy,adj. 贪婪的；贪吃的；渴望的
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
humane,adj. 仁慈的，人道的；高尚的
infirm,adj. 衰弱的；意志薄弱的；不坚固的
ironic,adj. 讽刺的；反话的
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
pearly,adj. 珍贵的；珍珠似的；生产珍珠的；用珍珠装饰的
prewar,"adj. 战前的
adv. 在战前"
racial,adj. 种族的；人种的
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
sexual,adj. 性的；性别的；有性的
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
superb,adj. 极好的；华丽的；宏伟的
timely,"adj. 及时的；适时的
adv. 及时地；早"
tribal,adj. 部落的；种族的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
aimless,adj. 没有目标的；无目的的
attuned,"adj. 理解的；音感好的
v. 使协调；为…调音（attune的过去分词）"
bizarre,adj. 奇异的（指态度，容貌，款式等）
chaotic,adj. 混沌的；混乱的，无秩序的
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
colored,"adj. 有色的；着色的；有色人种的
v. 把...染色，粉饰，脸红（color的过去时和过去分词形式）"
concise,adj. 简明的，简洁的
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
eminent,adj. 杰出的；有名的；明显的
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
fixable,adj. 可固定的；可确定的；可装置的
gainful,adj. 唯利是图的；有利益的；赚钱的
godlike,adj. 上帝般的；似神的；庄严的
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
lawless,adj. 非法的；无法律的
magical,adj. 魔术的；有魔力的
maximal,adj. 最高的，最大的；最全面的
mayoral,adj. 市长的
nonstop,"adj. 直达的；不休息的；不着陆的
n. 直达车
adv. 不休息地"
nuanced,"adj. 微妙的；具有细微差别的
v. 精确细腻地表演；细致入微地描绘（nuance的过去分词）"
offline,"n. 脱机；挂线
adj. 脱机的；离线的，未连线的
adv. 未连线地"
onetime,"adj. 从前的；一度的
adv. 一度；从前"
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
operant,"adj. 操作的；有效的
n. 自发反应；操作性制约；发生作用之人或物"
orbital,adj. 轨道的；眼窝的
panicky,adj. 恐慌的；惊慌失措的
partial,adj. 局部的；偏爱的；不公平的
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
sizable,adj. 相当大的；大小相当的
upscale,"adj. 迎合高层次消费者的；质优价高的
vt. 升高一级"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
adaptive,adj. 适应的，适合的
agitated,"v. 焦虑；鼓动（agitate的过去分词）
adj. 激动的；焦虑的；表现不安的"
athletic,adj. 运动的，运动员的；体格健壮的
baseless,adj. 无根据的；无基础的
bearable,adj. 可忍受的；支持得住的
burnable,adj. 燃烧的，可燃的，灼伤的
catholic,"n. 天主教徒；罗马天主教
adj. 天主教的；宽宏大量的"
cheerful,adj. 快乐的；愉快的；高兴的
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
climatic,adj. 气候的；气候上的；由气候引起的；受气候影响的
coercive,adj. 强制的；胁迫的；高压的
communal,adj. 公共的；公社的
costless,adj. 不花钱的；无须付出代价的
decisive,adj. 决定性的；果断的，坚定的
definite,adj. 一定的；确切的
divisive,adj. 分裂的；区分的；造成不和的
downward,"adj. 向下的，下降的
adv. 向下"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
explicit,adj. 明确的；清楚的；直率的；详述的
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
fanciful,adj. 想像的；稀奇的
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
frenzied,"adj. 疯狂的；狂乱的；激怒的
v. 使狂乱（frenzy的过去式）"
gigantic,adj. 巨大的，庞大的
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
hopeless,adj. 绝望的；不可救药的
ignorant,adj. 无知的；愚昧的
inedible,adj. 不能吃的
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
lifelike,adj. 栩栩如生的；逼真的
lifelong,adj. 终身的
literate,"adj. 受过教育的；精通文学的
n. 学者"
longtime,"adj. 长时间的；为时甚久的
adv. 长久地"
marginal,adj. 边缘的；临界的；末端的
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
mindless,adj. 愚蠢的；不小心的；不需要动脑筋的；不顾虑的
needless,adj. 不必要的，不需要的；多余的，无用的
optional,"adj. 可选择的，随意的
n. 选修科目"
oversize,"adj. 太大的；超大型的
n. 特大号"
painless,adj. 无痛的；不痛的
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
paternal,adj. 父亲的；得自父亲的；父亲般的
populist,
pregnant,adj. 怀孕的；富有意义的
primeval,adj. 原始的；初期的（等于primaeval）
purplish,adj. 略带紫色的
rarefied,adj. 稀薄的；纯化的
readable,adj. 可读的；易读的；读起来津津有味的
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
resolute,adj. 坚决的；果断的
ruthless,adj. 无情的，残忍的
scripted,"adj. 照稿子念的；使用稿子的
vi. 撰稿（script的变形）
vt. 把…改编成剧本（script的变形）"
seamless,adj. 无缝的；无缝合线的；无伤痕的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
solvable,adj. 可以解决的；可以解的；可溶的
suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
surgical,"n. 外科手术；外科病房
adj. 外科的；手术上的"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
systemic,adj. 系统的；全身的；体系的
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
terrific,adj. 极好的；极其的，非常的；可怕的
tiresome,adj. 烦人的，无聊的；令人讨厌的
tropical,adj. 热带的；热情的；酷热的
unbiased,adj. 公正的；无偏见的
unspoken,adj. 无言的；未说出口的；不言而喻的
unstable,adj. 不稳定的；动荡的；易变的
upmarket,"n. 高档商品
adj. 质优价高的；高级的
adv. 在高档之列
vt. 使进入高消费者市场
vi. 进入高消费者市场"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
adaptable,adj. 适合的；能适应的；可修改的
addictive,adj. 使人上瘾的
admirable,adj. 令人钦佩的；极好的；值得赞扬的
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
analogous,adj. 类似的； 同功的；可比拟的
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
bacterial,adj.  细菌的
bilingual,"n. 通两种语言的人
adj. 双语的"
