data,n. 数据（datum的复数）；资料
animation,n. 活泼，生气；激励；卡通片绘制
biography,n. 传记；档案；个人简介
bookstore,n. 书店（等于bookshop）
byproduct,n. 副产品
cellphone,n. 蜂窝式便携无线电话；大哥大
coalition,n. 联合；结合，合并
coastline,n. 海岸线
coherence,n. 一致；连贯性；凝聚
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
depletion,n. 消耗；损耗；放血
diffusion,n. 扩散，传播； 漫射
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店
enclosure,n. 附件；围墙；围场
fertility,n. 多产；肥沃； 生产力；丰饶
milestone,n. 里程碑，划时代的事件
nightfall,n. 黄昏；傍晚；日暮
pesticide,n. 杀虫剂
photoshop,n. 著名图象处理软件（美国Adobe公司）
precedent,"n. 先例；前例
adj. 在前的；在先的"
processor,n.  处理器；处理程序；加工者
rectangle,n. 矩形；长方形
relevance,n. 关联；适当；中肯
reservoir,n. 水库；蓄水池
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
staircase,n. 楼梯
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
bestseller,n. 畅销书；畅销书作者；畅销商品（等于best seller）
decoration,n. 装饰，装潢；装饰品；奖章
deductible,adj. 可扣除的；可减免的
earthquake,n. 地震；大动荡
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
hemisphere,n. 半球
millimeter,n.  毫米
navigation,n. 航行；航海
occurrence,n. 发生；出现；事件；发现
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
petri dish,
powerhouse,n. 精力旺盛的人；动力室；发电所
prevalence,n. 流行；普遍；广泛
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
spacecraft,n.  宇宙飞船，航天器
turbulence,n. 骚乱，动荡； 湍流；狂暴
typewriter,n. 打字机
bloodstream,n.  血流，血液的流动
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
illiquidity,n.  非流动性；非现金的；不能立即付现
masterpiece,n. 杰作；绝无仅有的人
observatory,n. 天文台；气象台；瞭望台
sovereignty,n. 主权；主权国家；君主；独立国
infeasibility, 不可行性
questionnaire,n. 问卷；调查表
supercomputer,n.  巨型计算机，超级计算机
treasure-house,n. 宝库
experimentation,n. 实验；试验；实验法；实验过程
boon,"n. 恩惠；福利；利益
adj. 愉快的；慷慨的"
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
realm,n. 领域，范围；王国
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
legend,n. 传奇；说明；图例；刻印文字
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
abdomen,n. 腹部；下腹；腹腔
formula,n.  公式，准则；配方；婴儿食品
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
handful,n. 少数；一把；棘手事
impetus,n. 动力；促进；冲力
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
breakout,n. 爆发；突围；越狱；脱逃
donation,n. 捐款，捐赠物；捐赠
efficacy,n. 功效，效力
lameness,n. 跛；残废；僵而疼痛的
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
abundance,n. 充裕，丰富
causality,n. 因果关系
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
courtship,n. 求爱；求婚；求爱期
elevation,n. 高地；海拔；提高；崇高；正面图
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
forefront,n. 最前线，最前部；活动的中心
hindrance,n. 障碍；妨碍；妨害；阻碍物
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
intensity,n. 强度；强烈； 亮度；紧张
isolation,n. 隔离；孤立； 绝缘； 离析
lifeblood,n. 生机的根源；生命必须的血液；命脉；命根子
magnitude,n. 大小；量级； 震级；重要；光度
mortality,n. 死亡数，死亡率；必死性，必死的命运
multitude,n. 群众；多数
normality,n. 常态； 当量浓度； 规定浓度
publicity,n. 宣传，宣扬；公开；广告；注意
retention,n. 保留；扣留，滞留；记忆力；闭尿
timescale,"时间量程
时标"
timetable,n. 时间表；时刻表；课程表
absorption,n. 吸收；全神贯注，专心致志
alteration,n. 修改，改变；变更
bankruptcy,n. 破产
birthplace,"n. 出生地
发源地"
continuity,n. 连续性；一连串；分镜头剧本
correction,n. 改正，修正
distortion,n. 变形； 失真；扭曲；曲解
embodiment,n. 体现；化身；具体化
habitation,n. 居住；住所
inaccuracy,n. 错误；不精确
likeliness,n. 可能
oversupply,"n.  供给过多；过多的供应品
vt. 过度供给"
perpetuity,n. 永恒
physiology,n. 生理学；生理机能
refinement,n. 精制；文雅； 提纯
uniformity,n. 均匀性；一致；同样
uniqueness,n. 独特性；独一无二；单值性
usefulness,n. 有用；有效性；有益
visibility,n. 能见度，可见性；能见距离；明显性
abnormality,n. 异常；畸形，变态
advancement,n. 前进，进步；提升
affiliation,n. 友好关系；加入；联盟；从属关系
aggregation,n.  聚合，聚集；聚集体，集合体
anniversary,n. 周年纪念日
archaeology,"n. 考古学
考古学的"
coexistence,n. 共存；和平共处；并立
conjunction,n. 结合； 连接词；同时发生
correlation,n.  相关，关联；相互关系
desperation,n. 绝望的境地；不顾一切拼命
disjunction,n. 分离；析取；分裂；折断
elimination,n. 消除；淘汰；除去
fluctuation,n. 起伏，波动
inconstancy,n. 反复无常，易变；不定性
probability,n. 可能性；机率； 或然率
progression,n. 前进；连续
resemblance,n. 相似；相似之处；相似物；肖像
sensitivity,n. 敏感；敏感性；过敏
utilisation,n. 使用（等于utilization）；利用
prerequisite,"n. 先决条件
adj. 首要必备的"
contradiction,n. 矛盾；否认；反驳
classification,n. 分类；类别，等级
underperformance,n. 新股弱势；新股偏弱现象
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
ply,"n. 厚度；板层；褶
vt. 使用，不住地使用；折，弯；从事
vi. 辛勤工作；定期地来往（船、车等）"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
emit,vt. 发出，放射；发行；发表
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
pave,vt. 铺设；安排；作铺设之用
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
allot,vt. 分配；拨给；分派
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
deter,vt. 制止，阻止；使打消念头
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
repel,vt. 击退；抵制；使厌恶；使不愉快
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
allege,vt. 宣称，断言；提出…作为理由
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
concur,vi. 同意；一致；互助
curate,"n. 助理牧师；副牧师
vt. 当(博物馆、美术馆、图书馆)馆长"
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
defame,v. 诽谤；中伤
denote,vt. 表示，指示
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
equate,"vt. 使相等；视为平等
vi. 等同"
forbid,vt. 禁止；不准；不允许；严禁
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
induce,vt. 诱导；引起；引诱；感应
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
remake,"vt. 再制
n. 重做；重制物"
remold,vt. 改造；改铸
rumour,"n. 谣言
vt. 传闻"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
