pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
deserve,"vi. 应受，应得
vt. 应受，应得"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
request,"n. 请求；需要
vt. 要求，请求"
consist,vi. 由…组成；在于；符合
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
maintain,vt. 维持；继续；维修；主张；供养
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
comprise,vt. 包含；由…组成
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
core,
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
visual,adj. 视觉的，视力的；栩栩如生的
decent,adj. 正派的；得体的；相当好的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
intense,adj. 强烈的；紧张的；非常的；热情的
genuine,adj. 真实的，真正的；诚恳的
creative,adj. 创造性的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
precious,adj. 宝贵的；珍贵的；矫揉造作的
dizzying,"adj. 令人昏乱的；极快的；灿烂的
vt. 使人眼花撩乱（dizzy的现在分词）"
practical,adj. 实际的；实用性的
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
convinced,"v. 使确信（convince的过去分词）；说服
adj. 确信的；深信的"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
sufficient,adj. 足够的；充分的
hence,adv. 因此；今后
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
mostly,adv. 主要地；通常；多半地
moreover,adv. 而且；此外
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
extremely,adv. 非常，极其；极端地
beneath,"prep. 在…之下
adv. 在下方"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
energy,n.  能量；精力；活力；精神
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
tragedy,n. 悲剧；灾难；惨案
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
wildlife,"n. 野生动植物
adj. 野生动植物的"
heritage,n. 遗产；传统；继承物；继承权
exception,n. 例外；异议
orchestra,n. 管弦乐队；乐队演奏处
biography,n. 传记；档案；个人简介
well-being,n. 幸福；康乐
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
wilderness,n. 荒地；大量，茫茫一片
perspective,"n. 观点；远景；透视图
adj. 透视的"
cope,"n. 长袍
vi. 处理；对付；竞争"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
define,vt. 定义；使明确；规定
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
exclude,vt. 排除；排斥；拒绝接纳；逐出
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
enforce,vt. 实施，执行；强迫，强制
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
attribute,"n. 属性；特质
vt. 归属；把…归于"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
collaborate,vi. 合作；勾结，通敌
deteriorate,"vi. 恶化，变坏
vt. 恶化"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
underestimate,"n. 低估
vt. 低估；看轻"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
durable,"n. 耐用品
adj. 耐用的，持久的"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
diligent,adj. 勤勉的；用功的，费尽心血的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
enlightening,"adj. 使人领悟的；有启发作用的
v. 启蒙；通知（enlighten的ing形式）"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
regime,n. 政权，政体；社会制度；管理体制
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
mindset,n. 心态；倾向；习惯；精神状态
pumpkin,n. 南瓜
artifact,n. 人工制品；手工艺品
appendix,n. 附录；阑尾；附加物
dispatch,"n. 派遣；急件
vt. 派遣；分派"
threshold,n. 入口；门槛；开始；极限；临界值
peninsula,n. 半岛
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
predecessor,n. 前任，前辈
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
inject,vt. 注入；注射
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
impair,vt. 损害；削弱；减少
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
despise,vt. 轻视，鄙视
immerse,vt. 沉浸；使陷入
inhibit,vt. 抑制；禁止
constrain,vt. 驱使；强迫；束缚
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
critic,n. 批评家，评论家；爱挑剔的人
employee,n. 雇员；从业员工
employer,n. 雇主，老板
alliance,n. 联盟，联合；联姻
statement,n. 声明；陈述，叙述；报表，清单
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
restraint,n. 抑制，克制；约束
enclosure,n. 附件；围墙；围场
rectangle,n. 矩形；长方形
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
connection,n. 连接；关系；人脉；连接件
prosperity,n. 繁荣，成功
inhabitant,n. 居民；居住者
excitement,n. 兴奋；刺激；令人兴奋的事物
archeology,n. 考古学（等于archaeology）
vegetarian,"n. 素食者；食草动物
adj. 素食的"
simplify,vt. 简化；使单纯；使简易
exemplify,vt. 例证；例示
summarize,"vt. 总结；概述
vi. 作总结；作概括"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
cautious,adj. 谨慎的；十分小心的
marginal,adj. 边缘的；临界的；末端的
excessive,adj. 过多的，极度的；过分的
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
extensive,adj. 广泛的；大量的；广阔的
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
historical,adj. 历史的；史学的；基于史实的
profitable,adj. 有利可图的；赚钱的；有益的
beneficial,adj. 有益的，有利的；可享利益的
electrical,adj. 有关电的；电气科学的
highly,adv. 高度地；非常；非常赞许地
unfortunately,adv. 不幸地
albeit,conj. 虽然；即使
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
