than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
upon,prep. 根据；接近；在…之上
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
among,prep. 在…中间；在…之中
across,"prep. 穿过；横穿
adv. 横过；在对面"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
during,prep. 在…的时候，在…的期间
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
because,conj. 因为
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小"
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
okay,"adv. 可以；对；很好地
adj. 可以；对；不错
n. 同意，批准
int. 好；行"
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
UK,"n. 英国
abbr. 联合王国（United Kingdom）"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
sir,n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
wife,n. 妻子，已婚妇女；夫人
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
Japan,n. 日本（东亚国家名）
France,n. 法国；法郎士（姓氏）
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
writer,n. 作家；作者
America,n. 美洲（包括北美和南美洲）；美国
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
England,n. 英格兰
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
student,n. 学生；学者
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
sea,n. 海；海洋；许多；大量
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
exam,n. 考试；测验
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
text,"n.  文本；课文；主题
vt. 发短信"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
money,n. 钱；货币；财富
movie,"n. 电影；电影院；电影业
adj. 电影的"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
thing,n. 事情；东西；事物；情况
coffee,n. 咖啡；咖啡豆；咖啡色
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
office,n. 办公室；政府机关；官职；营业处
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
T-shirt,n. 短袖圆领汗衫
Internet,
television,n. 电视，电视机；电视业
TV,abbr. 电视（television）
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
life,n. 生活，生存；寿命
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
team,"n. 队；组
vt. 使合作
vi. 合作"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
world,n. 世界；领域；世俗；全人类；物质生活
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
history,n. 历史，历史学；历史记录；来历
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
success,n. 成功，成就；胜利；大获成功的人或事物
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
activity,n. 活动；行动；活跃
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
may,aux. 可以，能够；可能，也许；祝，愿；会，能
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
seem,vi. 似乎；像是；装作
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
could,"aux. 能够
v. 能（can的过去式）"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
would,"aux. 将，将要；愿意
v. will的过去式"
become,"vt. 适合；相称
vi. 成为；变得；变成"
should,aux. 应该；就；可能；将要
few,"n. 很少数
adj. 很少的；几乎没有的
pron. 很少"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
able,adj. 能； 有能力的；能干的
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
such,adj. 这样的，如此的
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
true,"n. 真实；准确
adj. 真实的；正确的
vt. 装准
adv. 真实地；准确地"
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
different,adj. 不同的；个别的，与众不同的
ago,"adj. 以前的；过去的
adv. 以前，以往"
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
yet,"conj. 但是；然而
adv. 还；但是；已经"
away,adv. 离去，离开；在远处
else,"adj. 别的；其他的
adv. 其他；否则；另外"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
ever,adv. 永远；曾经；究竟
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
soon,adv. 快；不久，一会儿；立刻；宁愿
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
never,adv. 从未；决不
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
within,"prep. 在…之内
n. 里面
adv. 在内部"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
duty,n. 责任； 关税；职务
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
adult,"n. 成年人
adj. 成年的；成熟的"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
youth,n. 青年；青春；年轻；青少年时期
effort,n. 努力；成就
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
lawyer,n. 律师；法学家
nation,n. 国家；民族；国民
freedom,n. 自由，自主；直率
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
fee,"n. 费用；酬金；小费
vt. 付费给……"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
café,
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
data,n. 数据（datum的复数）；资料
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
policy,n. 政策，方针；保险单
source,n. 来源；水源；原始资料
system,n. 制度，体制；系统；方法
theory,n. 理论；原理；学说；推测
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
network,n. 网络；广播网；网状物
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
